
##################################################################################
Loading data worload A try 1 
[OVERALL], RunTime(ms), 800
[OVERALL], Throughput(ops/sec), 1250.0
[TOTAL_GCS_G1_Young_Generation], Count, 2
[TOTAL_GC_TIME_G1_Young_Generation], Time(ms), 16
[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%), 2.0
[TOTAL_GCS_G1_Old_Generation], Count, 0
[TOTAL_GC_TIME_G1_Old_Generation], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%), 0.0
[TOTAL_GCs], Count, 2
[TOTAL_GC_TIME], Time(ms), 16
[TOTAL_GC_TIME_%], Time(%), 2.0
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 829.0
[CLEANUP], MinLatency(us), 829
[CLEANUP], MaxLatency(us), 829
[CLEANUP], 95thPercentileLatency(us), 829
[CLEANUP], 99thPercentileLatency(us), 829
[INSERT], Operations, 1000
[INSERT], AverageLatency(us), 688.354
[INSERT], MinLatency(us), 335
[INSERT], MaxLatency(us), 14031
[INSERT], 95thPercentileLatency(us), 992
[INSERT], 99thPercentileLatency(us), 3183
[INSERT], Return=OK, 1000

##################################################################################
 Loading data worload B try 1 
[OVERALL], RunTime(ms), 693
[OVERALL], Throughput(ops/sec), 1443.001443001443
[TOTAL_GCS_G1_Young_Generation], Count, 2
[TOTAL_GC_TIME_G1_Young_Generation], Time(ms), 16
[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%), 2.3088023088023086
[TOTAL_GCS_G1_Old_Generation], Count, 0
[TOTAL_GC_TIME_G1_Old_Generation], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%), 0.0
[TOTAL_GCs], Count, 2
[TOTAL_GC_TIME], Time(ms), 16
[TOTAL_GC_TIME_%], Time(%), 2.3088023088023086
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 1257.0
[CLEANUP], MinLatency(us), 1257
[CLEANUP], MaxLatency(us), 1257
[CLEANUP], 95thPercentileLatency(us), 1257
